agree,同意
airplane,飞机
almost,几乎
always,总是
answer,答案、回答
arm,手臂
baby,婴儿
bakery,面包店
bank,银行
beach,海滩
beautiful,美丽的
beef,牛肉
believe,相信
belt,腰带、带子
bite,咬、啃
blackboard,黑板
blind,瞎的、盲的
boat,船、小船
boss,老板
bottle,瓶子
bowl,碗
bridge,桥梁
brown,咖啡色
businessman,商人
busy,忙、忙碌
butter,奶油
camera,相机
careful,小心的、仔细的
cell phone,手机
chalk,粉笔
cheap,便宜的
cheat,欺骗、作弊
cheese,奶酪
chopsticks,筷子
church,教堂
circle,圆、圆圈
city,城市
climb,爬、攀爬
coffee,咖啡
collect,收集
convenient,便利的
copy,影印、拷贝
couch,长沙发、睡椅
count,数数、计算
country,乡村、国家
crazy,疯狂的
cry,哭泣
dangerous,危险的
dark,黑暗的
date,日期
daughter,女儿
decide,决定
delicious,美味的
department store,百货公司
dictionary,字典
different,不同的
Double Tenth Day,双十节
dozen,一打
driver,司机
dry,干燥的、干的
elf,小精灵
e-mail,电子邮件
excellent,杰出的、优秀的
excited,刺激的、兴奋的
expensive,昂贵的
factory,工厂
fan,电风扇
farmer,农夫
fast,快的
Father's Day,父亲节
favorite,最爱的
fax,传真
finally,最后、终于
finger,手指
fisherman,渔夫
foreigner,外国人
fork,叉子
garbage,垃圾
garden,花园
gift,礼物
glass,玻璃杯
glove,手套
goat,山羊
grass,草
gray,灰色
ground,地面
habit,习惯
Halloween,万圣节
healthy,健康的
history,历史
holiday,假日
honest,诚实的、正直的
horse,马
hospital,医院
hot dog,热狗
hotel,旅馆
hundred,百
hurt,受伤、危害
important,重要的
Internet,因特网
island,岛屿
jacket,夹克
jeans,牛仔裤
jog,慢跑
jump,跳跃
kick,踢
knee,膝盖
knife,刀子
lake,湖泊
laugh,笑
lazy,懒惰的
left,左边
library,图书馆
listen,听
lonely,孤独的、单独的
lucky,幸运的
machine,机器
medicine,药
menu,菜单
minute,分钟
mistake,错误
Moon Festival,中秋节
Mother's Day,母亲节
motorcycle,摩托车
mountain,山、山脉
movie,电影
museum,博物馆
neck,颈部
New Year's Day,新年（元旦）
noodle,面条
north,北方、北方的
office,办公室
page,页，页数
pants,裤子
parents,父母亲
pet,宠物
picnic,郊游、野餐
picture,图画
playground,操场、游乐场
police station,警察局
popcorn,爆玉米花
popular,受欢迎的
pork,猪肉
post office,邮局
problem,问题、困难
pull,拉
push,推
quick,快的、快速的
quiet,安静的、安静
quiz,小考
radio,收音机
rainbow,彩虹
restaurant,餐厅
right,右边
river,河流
road,路
run,跑
safe,安全的
salad,色拉
salty,咸的
same,相同的、一样的
school bag,书包
season,季节
shape,形状
share,分享
sheep,绵羊
ship,船
shirt,衬衫
shoe(s),鞋子
shop,商店
shopkeeper,店主
shoulder,肩膀
shy,害羞的
slow,慢的
smile,微笑
smoke,吸烟、烟
snake,蛇
snowy,下雪的
sock(s),短袜
song,歌曲
sound,声响、听起来
south,南方、南方的、南部的
speak,说话
spoon,汤匙
spring,春天
story,故事
stranger,陌生人
street,街道
successful,成功的
sugar,糖
summer,夏天
supermarket,超级市场
surprise,惊讶、惊喜
sweater,毛衣
swim,游泳
Taiwan,台湾
taxi,出租车
Teacher's Day,教师节
telephone,电话
television,电视
Thanksgiving,感恩节
thirsty,口渴的
thousand,千
tomorrow,明天
traffic,交通
train station,火车站
truck,货车
typhoon,台风
umbrella,雨伞
uniform,制服
vacation,假期
vegetable,蔬菜
week,星期（周）
weekend,周末
white,白色
window,窗户
winter,冬天
yesterday,昨天
young,年轻
